,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600423,*ST柳化,159.31,3.36,5.4217,61.5515,0.1541,1830.0737,4.5826
1,600678,四川金顶,103.06,15.6,27.1372,28.858,0.0826,184.9645,0.5299
2,600507,方大特钢,52.13,18.21,32.0344,2539.5266,1.915,13944.7496,10.5156
3,300618,寒锐钴业,40.34,30.67,48.8973,449.4048,3.745,1464.8966,12.2074
4,000932,*ST华菱,39.82,5.38,13.8155,4120.9195,1.3665,76511.4136,25.3714
5,600516,方大炭素,37.31,43.35,76.586,3620.4186,2.0239,8350.4761,4.6682
6,300740,御家汇,29.35,9.62,52.6341,158.4942,1.3207,1646.3999,13.7199
7,600282,南钢股份,27.64,8.51,16.3415,3200.3494,0.7258,37600.6641,8.5282
8,600961,株冶集团,27.07,0.4,4.6676,55.4496,0.1051,13796.8289,26.1572
9,603225,新凤鸣,22.81,6.51,12.3315,1496.5949,2.4859999999999998,22963.2778,38.1449
10,600816,安信信托,22.65,65.59,84.0632,3668.2123,0.8048,5592.4279,1.227
11,002714,牧原股份,18.57,23.55,29.8078,2365.5294,2.0419,10042.4159,8.6687
12,002258,利尔化学,16.89,13.03,28.7388,401.9673,0.7665,3083.5479,5.8804
13,600829,人民同泰,15.76,3.17,11.6035,254.196,0.4383,8008.880999999999,13.811
14,300320,海达股份,15.41,10.86,28.9023,140.2801,0.2656,1291.6529,2.4461
15,002793,东音股份,15.36,13.99,30.4599,115.8517,0.5792,828.044,4.1402
16,603707,健友股份,15.31,28.23,46.3763,314.2224,0.7419,1112.726,2.6274
17,000661,长春高新,14.95,16.13,81.9439,661.9488,3.8912,4102.2616,24.115
18,002245,澳洋顺昌,14.42,9.87,24.0125,354.4181,0.3589,3588.4213,3.6345
19,002382,蓝帆医疗,14.08,12.74,31.3978,200.8643,0.4063,1575.9453,3.1878
20,000410,*ST沈机,13.61,2.81,25.8783,117.7516,0.1538,4189.2369,5.4727
21,300644,南京聚隆,13.32,5.51,17.5498,56.4331,1.1756,1023.7496,21.3281
22,002837,英维克,12.7,10.87,34.3443,85.6067,0.4225,786.9874,3.8847
23,603626,科森科技,12.65,10.27,29.3299,222.4038,0.7491,2164.9578,7.2924
24,601128,常熟银行,12.12,25.6,32.6148,1267.228,0.5701,4948.48,2.2263
25,300204,舒泰神,11.9,18.95,94.455,263.0268,0.5504,1387.8859,2.9046
26,300474,景嘉微,11.9,38.8,78.7773,118.8294,0.4394,306.2459,1.1325
27,603668,天马科技,11.15,7.86,19.5121,91.5147,0.3083,1162.9063,3.9181
28,000838,财信发展,10.98,10.85,23.9052,195.7902,0.1779,1803.4794,1.6388
29,300476,胜宏科技,10.44,11.53,25.9681,281.8186,0.659,2442.1447,5.711
30,600675,中华企业,10.16,4.78,21.3029,366.7723,0.1964,7658.9703,4.1021
31,300495,美尚生态,9.81,12.33,27.2737,284.117,0.4728,2303.6515,3.8339
32,300536,农尚环境,9.79,12.21,27.4749,51.8904,0.3096,424.655,2.5338
33,000888,峨眉山A,8.91,18.22,42.6175,196.6058,0.3731,1078.9869,2.0477
34,002741,光华科技,8.34,7.12,23.7601,92.6195,0.2474,1299.1914,3.4716
35,300451,创业软件,8.01,14.15,48.9374,163.2442,0.6719,1152.9529,4.7456
36,603078,江化微,7.17,15.15,35.1323,53.6779,0.8946,354.2823,5.9047
37,600168,武汉控股,6.81,26.21,25.4726,327.9486,0.4621,1250.9214,1.7629
38,600696,ST匹凸,6.51,10.3,13.107000000000001,18.0347,0.0529,175.0893,0.5141
39,300193,佳士科技,6.32,17.82,34.4306,143.7709,0.2834,806.5176,1.5898
40,600226,瀚叶股份,6.21,19.82,23.7817,261.2228,0.1081,1317.4294,0.5456
41,600664,哈药股份,5.77,3.38,25.881999999999998,406.9759,0.1595,12017.5313,4.7119
42,603456,九洲药业,5.51,8.59,31.1609,147.6053,0.3295,1717.4406,3.8348
43,002644,佛慈制药,5.45,14.78,29.7429,74.0928,0.145,501.1397,0.9813
44,600785,新华百货,5.37,1.43,20.0695,106.9548,0.474,7435.6108,32.9546
45,603618,杭电股份,5.04,2.41,16.0019,100.34200000000001,0.146,4160.9584,6.0577
46,600219,南山铝业,4.92,9.44,22.5833,1611.3551,0.1741,17067.8808,1.8449
47,603077,和邦生物,4.71,10.92,25.388,517.5399,0.0586,4737.646,0.5364
48,600360,华微电子,4.47,5.8,20.698,94.8538,0.1262,1634.8903,2.1752
49,600077,宋都股份,4.17,5.66,33.2094,155.6756,0.1161,2749.2869,2.0515
50,600556,ST慧球,4.08,4.81,23.3184,3.1689999999999996,0.008,65.8251,0.1667
51,600733,SST前锋,4.01,20.2,38.8047,7.722,0.039,38.2246,0.1934
52,601313,江南嘉捷,4.01,3.11,29.6193,68.1174,0.1715,2184.5216,5.5
53,002189,利达光电,3.92,2.38,16.1749,21.7551,0.1091,912.8660000000001,4.5817
54,600722,金牛化工,3.75,4.41,9.508,34.4355,0.0506,779.3076,1.1455
55,000613,*ST东海A,3.7,10.24,60.0814,2.859,0.0078,27.9066,0.0766
56,300161,华中数控,2.86,3.33,32.9719,32.87,0.1902,985.1921,5.7016
57,600527,江南高纤,2.81,4.9,10.5395,70.0557,0.0728,1429.4117,1.4857
58,600353,旭光股份,2.55,2.59,17.1233,27.5771,0.0507,1061.692,1.9526
59,600190,锦州港,2.37,3.15,13.3644,143.0991,0.0714,4531.4962,2.2631
60,002459,天业通联,1.75,6.21,22.9684,22.168000000000003,0.057,356.9123,0.9182
61,300483,沃施股份,1.45,1.51,23.5707,5.8144,0.0945,384.9191,6.2588
62,600058,五矿发展,0.45,0.05,3.5848,34.5121,0.0321,59020.1638,55.0607
63,600301,ST南化,-13.43,-15.16,5.5425,-32.4799,-0.1381,214.1563,0.9107
64,002680,长生生物,,,,,,,
65,002851,麦格米特,,,,,,,
66,300003,乐普医疗,,,,,,,
67,300064,豫金刚石,,,,,,,
68,300098,高新兴,,,,,,,
69,300133,华策影视,,,,,,,
70,300237,美晨生态,,,,,,,
71,300337,银邦股份,,,,,,,
72,300378,鼎捷软件,,,,,,,
73,300489,中飞股份,,,,,,,
74,300600,瑞特股份,,,,,,,
75,300650,太龙照明,,,,,,,
76,600479,千金药业,,,,,,,
77,603976,正川股份,,,,,,,
78,000061,农产品,,,,,,,
79,000576,广东甘化,,,,,,,
80,000603,盛达矿业,,,,,,,
81,000636,风华高科,,,,,,,
82,000713,丰乐种业,,,,,,,
83,000759,中百集团,,,,,,,
84,000798,中水渔业,,,,,,,
85,000848,承德露露,,,,,,,
86,000958,东方能源,,,,,,,
87,002007,华兰生物,,,,,,,
88,002049,紫光国芯,,,,,,,
89,002132,恒星科技,,,,,,,
90,002162,悦心健康,,,,,,,
91,002194,武汉凡谷,,,,,,,
92,002261,拓维信息,,,,,,,
93,002286,保龄宝,,,,,,,
94,002348,高乐股份,,,,,,,
95,002406,远东传动,,,,,,,
96,002482,广田集团,,,,,,,
97,002490,*ST墨龙,,,,,,,
98,002534,杭锅股份,,,,,,,
99,002588,史丹利,,,,,,,
100,002602,世纪华通,,,,,,,
101,002692,睿康股份,,,,,,,
102,002763,汇洁股份,,,,,,,
103,002845,同兴达,,,,,,,
104,002897,意华股份,,,,,,,
105,300017,网宿科技,,,,,,,
106,300084,海默科技,,,,,,,
107,300117,嘉寓股份,,,,,,,
108,300155,安居宝,,,,,,,
109,300197,铁汉生态,,,,,,,
110,300228,富瑞特装,,,,,,,
111,300286,安科瑞,,,,,,,
112,300334,津膜科技,,,,,,,
113,300369,绿盟科技,,,,,,,
114,300445,康斯特,,,,,,,
115,300467,迅游科技,,,,,,,
116,603003,龙宇燃油,,,,,,,
117,603328,依顿电子,,,,,,,
118,000058,深赛格,,,,,,,
119,000158,常山北明,,,,,,,
120,000931,中关村,,,,,,,
121,000976,华铁股份,,,,,,,
122,002035,华帝股份,,,,,,,
123,002062,宏润建设,,,,,,,
124,002139,拓邦股份,,,,,,,
125,002206,海利得,,,,,,,
126,002249,大洋电机,,,,,,,
127,002272,川润股份,,,,,,,
128,002288,超华科技,,,,,,,
129,002484,江海股份,,,,,,,
130,002527,新时达,,,,,,,
131,002566,益盛药业,,,,,,,
132,002599,盛通股份,,,,,,,
133,002639,雪人股份,,,,,,,
134,002687,乔治白,,,,,,,
135,002891,中宠股份,,,,,,,
136,300014,亿纬锂能,,,,,,,
137,300080,易成新能,,,,,,,
138,300116,坚瑞沃能,,,,,,,
139,300144,宋城演艺,,,,,,,
140,300223,北京君正,,,,,,,
141,300282,汇冠股份,,,,,,,
142,300333,兆日科技,,,,,,,
143,300359,全通教育,,,,,,,
144,300422,博世科,,,,,,,
145,300463,迈克生物,,,,,,,
146,300602,飞荣达,,,,,,,
147,300691,联合光电,,,,,,,
148,600220,江苏阳光,,,,,,,
149,603458,勘设股份,,,,,,,
150,000012,南玻A,,,,,,,
151,000100,TCL集团,,,,,,,
152,000413,东旭光电,,,,,,,
153,000595,*ST宝实,,,,,,,
154,000637,茂化实华,,,,,,,
155,000731,四川美丰,,,,,,,
156,000768,中航飞机,,,,,,,
157,000802,北京文化,,,,,,,
158,000851,高鸿股份,,,,,,,
159,000920,南方汇通,,,,,,,
160,000975,银泰资源,,,,,,,
161,002008,大族激光,,,,,,,
162,002056,横店东磁,,,,,,,
163,002136,安纳达,,,,,,,
164,002182,云海金属,,,,,,,
165,002205,国统股份,,,,,,,
166,002247,帝龙文化,,,,,,,
167,002267,陕天然气,,,,,,,
168,002287,奇正藏药,,,,,,,
169,002369,卓翼科技,,,,,,,
170,002431,棕榈股份,,,,,,,
171,002483,润邦股份,,,,,,,
172,002497,雅化集团,,,,,,,
173,002548,金新农,,,,,,,
174,002591,恒大高新,,,,,,,
175,002630,华西能源,,,,,,,
176,002683,宏大爆破,,,,,,,
177,002718,友邦吊顶,,,,,,,
178,002829,星网宇达,,,,,,,
179,002862,实丰文化,,,,,,,
180,300478,杭州高新,,,,,,,
181,300522,世名科技,,,,,,,
182,300707,威唐工业,,,,,,,
183,600220,江苏阳光,,,,,,,
184,603458,勘设股份,,,,,,,
185,000012,南玻A,,,,,,,
186,000100,TCL集团,,,,,,,
187,000413,东旭光电,,,,,,,
188,000595,*ST宝实,,,,,,,
189,000637,茂化实华,,,,,,,
190,000731,四川美丰,,,,,,,
191,000768,中航飞机,,,,,,,
192,000802,北京文化,,,,,,,
193,000851,高鸿股份,,,,,,,
194,000920,南方汇通,,,,,,,
195,000975,银泰资源,,,,,,,
196,002008,大族激光,,,,,,,
197,002056,横店东磁,,,,,,,
198,002136,安纳达,,,,,,,
199,002182,云海金属,,,,,,,
200,002205,国统股份,,,,,,,
201,002247,帝龙文化,,,,,,,
202,002267,陕天然气,,,,,,,
203,002287,奇正藏药,,,,,,,
204,002369,卓翼科技,,,,,,,
205,002431,棕榈股份,,,,,,,
206,002483,润邦股份,,,,,,,
207,002497,雅化集团,,,,,,,
208,002548,金新农,,,,,,,
209,002591,恒大高新,,,,,,,
210,002630,华西能源,,,,,,,
211,002683,宏大爆破,,,,,,,
212,002718,友邦吊顶,,,,,,,
213,002829,星网宇达,,,,,,,
214,002862,实丰文化,,,,,,,
215,300009,安科生物,,,,,,,
216,300070,碧水源,,,,,,,
217,300108,吉药控股,,,,,,,
218,300136,信维通信,,,,,,,
219,300166,东方国信,,,,,,,
220,300218,安利股份,,,,,,,
221,300238,冠昊生物,,,,,,,
222,300322,硕贝德,,,,,,,
223,300355,蒙草生态,,,,,,,
224,300421,力星股份,,,,,,,
225,300462,华铭智能,,,,,,,
226,300602,飞荣达,,,,,,,
227,300691,联合光电,,,,,,,
